#Ejercicio,Orgánica,Económica,Descripción, Prevision Inicial Ejercicio Corriente,Modificación previsiones,Modificaciones en aumento,Modificaciones en disminución, Prevision Definiva Ejercicio Corriente, Derechos Reconocidos Netos Ejercicio Corriente
2018,,451,       Transferencia Corrientes _ De Comunidades Autonomas _ De Organismos Autonomos Y Agencias De Las Comunidades Autonomas,50500,,,,50500,9756.82
2018,,452,       Transferencia Corrientes _ De Comunidades Autonomas _ De Fundaciones De Las Comunidades Autonomas,0,,,,0,0
2018,,453,       Transferencia Corrientes _ De Comunidades Autonomas _ De Sociedades Mercantiles Entidades Publicas Empresariales Y Otros Organismos Publicos Dependientes De Las Comunidades Autonomas,39158.94,,,,39158.94,0
2018,,461,       Transferencia Corrientes _ De Entidades Locales _ De Diputaciones Consejos O Cabildos,0,,,,0,0
2018,,462,       Transferencia Corrientes _ De Entidades Locales _ De Ayuntamientos,330838.44,,,,330838.44,135408.96
2018,,463,       Transferencia Corrientes _ De Entidades Locales _ De Mancomunidades,0,,,,0,0
2018,,464,       Transferencia Corrientes _ De Entidades Locales _ De Areas Metropolitanas,0,,,,0,0
2018,,465,       Transferencia Corrientes _ De Entidades Locales _ De Comarcas,0,,,,0,0
2018,,466,       De Entidades Que Agrupen Municipios,0,,,,0,0
2018,,467,       Transferencia Corrientes _ De Entidades Locales _ De Consorcios,0,,,,0,0
2018,,468,       Transferencia Corrientes _ De Entidades Locales _ De Entidades Locales Menores,0,,,,0,0
2018,,490,       Transferencia Corrientes _ Del Exterior _ Del Fondo Social Europeo,0,,,,0,0
2018,,491,       Transferencia Corrientes _ Del Exterior _ Del Fondo De Desarrollo Regional,0,,,,0,0
2018,,492,       Transferencia Corrientes _ Del Exterior _ Del Fondo De Cohesion,0,,,,0,0
2018,,493,       Transferencia Corrientes _ Del Exterior _ Del Fondo Europeo Agricola De Garantia Feaga,0,,,,0,0
2018,,494,       Transferencia Corrientes _ Del Exterior _ Del Fondo Europeo Agricola De Desarrollo Rural Feader,0,,,,0,0
2018,,495,       Transferencia Corrientes _ Del Exterior _ Del Feoga -orientacion,0,,,,0,0
2018,,496,       Transferencia Corrientes _ Del Exterior _ Del Fondo Europeo De La Pesca Fep,0,,,,0,0
2018,,497,       Transferencia Corrientes _ Del Exterior _ Otras Transferencias De La Union Europea,0,,,,0,0
2018,,499,       Otras Tansferencias Del Exterior Excluyendo La Union Europea,0,,,,0,0
2018,,500,       Ingresos Patrimoniales _ Intereses De Titulos Y Valores _ Del Estado,0,,,,0,0
2018,,501,       Intereses De Titulos Y Valores _ De Organismos Autonomos Y Agencias,0,,,,0,0
2018,,504,       Ingresos Patrimoniales _ Intereses De Titulos Y Valores _ De Sociedades Mercantiles Estatales Entidades Publicas Empresariales Y Otros Organismos Publicos,0,,,,0,0
2018,,505,       Ingresos Patrimoniales _ Intereses De Titulos Y Valores _ De Comunidades Autonomas,0,,,,0,0
2018,,506,       Ingresos Patrimoniales _ Intereses De Titulos Y Valores _ De Entidades Locales,0,,,,0,0
2018,,507,       Ingresos Patrimoniales _ Intereses De Titulos Y Valores _ De Empresas Privadas,0,,,,0,0
2018,,511,       Economica Ingresos _ Ingresos Patrimoniales _ Intereses De Anticipos Y Prestamos Concedidos _ A Organismos Autonomos Y Agencias,0,,,,0,0
2018,,514,       A Sociedades Mercantiles Entidades Publicasempresariales Y Otros Organismos Publicos,0,,,,0,0
2018,,518,       A Familias E Instituciones Sin Animo De Lucro,0,,,,0,0
2018,,52,     Economica Ingresos _ Ingresos Patrimoniales _ Intereses De Depositos,18000,,,,18000,42455.23
2018,,531,       Dividendos Y Participacion Beneficios _ De Organismos Autonomos Y Agencias,0,,,,0,0
2018,,53400,             De Sociedades Y Entidades Dependientes De Las Entidades Locales,0,,,,0,0
2018,,53410,             De Sociedades Y Entidades No Dependientes De Las Entidades Locales,0,,,,0,0
2018,,537,       Ingresos Patrimoniales _ Dividendos Y Participacion Beneficios _ De Empresas Privadas,0,,,,0,0
2018,,541,       Arrendamientos De Fincas Urbanas,0,,,,0,0
2018,,542,       Arrendamientos De Fincas Rusticas,0,,,,0,0
2018,,544,       Censos,0,,,,0,0
2018,,549,       Otras Rentas De Bienes Inmuebles,0,,,,0,0
2018,,550,       De Concesiones Administrativas Con Contraprestacion Periodica,174750,,,,174750,71950
2018,,551,       De Concesiones Administrativas Con Contraprestacion No Periodica,0,,,,0,0
2018,,552,       Derecho De Superficie Con Contraprestacion Periodica,0,,,,0,0
2018,,553,       Derecho De Superficie Con Contraprestacion No Periodica,0,,,,0,0
2018,,55400,             Producto De Explotaciones Forestales,0,,,,0,0
2018,,55410,             Fondo De Mejora De Montes,0,,,,0,0
2018,,555,       Aprovechamientos Especiales Con Contraprestacion,0,,,,0,259061.26
2018,,559,       Otras Concesiones Y Aprovechamientos,0,,,,0,0
2018,,591,       Beneficios Por Realizacion De Inversiones Financieras,0,,,,0,0
2018,,592,       Ingresos Por Operaciones De Intercambio Financiero,0,,,,0,0
2018,,599,       Otros Ingresos Patrimoniales _ Otros Ingresos Patrimoniales,0,,,,0,0
2018,,600,       Venta De Solares,0,,,,0,0
2018,,601,       Venta De Fincas Rusticas,0,,,,0,0
2018,,602,       Parcelas Sobrantes De La Via Publica,0,,,,0,0
2018,,603,       Patrimonio Publico Del Suelo,0,,,,0,0
2018,,609,       Otros Terrenos,0,,,,0,0
2018,,611,       De Inversiones De Caracter Inmaterial,0,,,,0,0
2018,,612,       De Objetos Valiosos,0,,,,0,0
2018,,619,       De Otras Inversiones Reales,0,,,,0,0
2018,,680,       De Ejercicios Cerrados,0,,,,0,0
2018,,720,       Transferencias De Capital _ De La Administracion Del Estado _ De La Administracion General Del Estado,7621170,,,,24275980,63281.62
2018,,72100,             Transferencias De Capital _ De La Administracion Del Estado _ De Organismos Autonomos Y Agencias Estatales _ Del Servicio Publico De Empleo Estatal,0,,,,0,0
2018,,72190,             Transferencias De Capital _ De La Administracion Del Estado _ De Organismos Autonomos Y Agencias Estatales _ De Otros Organismos Autonomos Y Agencias,0,,,,0,0
2018,,722,       Transferencias De Capital _ De La Administracion Del Estado _ De Fundaciones Estatales,0,,,,0,0
2018,,72300,             Transferencias De Capital _ De La Administracion Del Estado _ De Sociedades Mercantiles Estatales Entidades Publicas Empresariales Y Otros Organismos Publicos _ De Loterias Y Apuestas Del Estado,0,,,,0,0
2018,,72390,             De Otras Sociedades Mercantiles Estatales Entidades Publicas Empresariales Y Otros Organismos Publicos,0,,,,0,0
2018,,740,       Transferencias De Capital _ De Entes Publicos Y Sociedades Mercantiles De La Entidad Local _ De Entes Publicos,0,,,,0,0
2018,,741,       Transferencias De Capital _ De Entes Publicos Y Sociedades Mercantiles De La Entidad Local _ De Sociedades Mercantiles,0,,,,0,0
2018,,75000,             Subvenciones Afectas A La Amortizacion De Prestamos Y Operaciones Financieras,0,,,,0,0
2018,,75002,             Transferencias De Capital En Cumplimiento De Convenios Suscritos Con La Comunidad Autonoma En Materia De Servicios Sociales Y Politicas De Igualdad,0,,,,0,0
2018,,75030,             Transferencias De Capital En Cumplimiento De Convenios Suscritos Con La Comunidad Autonoma En Materia De Educacion,0,,,,0,0
2018,,75050,             Transferencias De Capital En Cumplimiento De Convenios Suscritos Con La Comunidad Autonoma En Materia De Empleo Y Desarrollo Local,0,,,,0,0
2018,,75060,             Otras Transferencias De Capital En Cumplimiento De Convenios Suscritos Con La Comunidad Autonoma,5569145.99,,,,9915511.29,1011789.52
2018,,75080,             Otras Transferencias De Capital De La Administracion General De La Comunidad Autonoma,8228911.09,,,,9023210.78,6529193.9
2018,,751,       Transferencias De Capital _ De Comunidades Autonomas _ De Organismos Autonomos Y Agencias De Las Comunidades Autonomas,0,,,,0,0
2018,,752,       Transferencias De Capital _ De Comunidades Autonomas _ De Fundaciones De Las Comunidades Autonomas,0,,,,0,0
2018,,753,       Transferencias De Capital _ De Comunidades Autonomas _ De Sociedades Mercantiles Entidades Publicas Empresariales Y Otros Organismos Publicos Dependientes De Las Comunidades Autonomas,0,,,,0,0
2018,,761,       Transferencias De Capital _ De Entidades Locales _ De Diputaciones Consejos O Cabildos,0,,,,0,0
2018,,762,       Transferencias De Capital _ De Entidades Locales _ De Ayuntamientos,0,,,,0,0
2018,,763,       Transferencias De Capital _ De Entidades Locales _ De Mancomunidades,0,,,,0,0
2018,,764,       Transferencias De Capital _ De Entidades Locales _ De Areas Metropolitanas,0,,,,0,0
2018,,765,       Transferencias De Capital _ De Entidades Locales _ De Comarcas,0,,,,0,0
2018,,766,       De Otras Entidades Que Agrupen Municipios,0,,,,0,0
2018,,767,       Transferencias De Capital _ De Entidades Locales _ De Consorcios,0,,,,0,0
2018,,768,       Transferencias De Capital _ De Entidades Locales _ De Entidades Locales Menores,0,,,,0,0
2018,,790,       Transferencias De Capital _ Del Exterior _ Del Fondo Social Europeo,0,,,,0,0
2018,,791,       Transferencias De Capital _ Del Exterior _ Del Fondo De Desarrollo Regional,0,,,,0,0
2018,,792,       Transferencias De Capital _ Del Exterior _ Del Fondo De Cohesion,0,,,,0,0
2018,,793,       Transferencias De Capital _ Del Exterior _ Del Fondo Europeo Agricola De Garantia Feaga,0,,,,0,0
2018,,794,       Transferencias De Capital _ Del Exterior _ Del Fondo Europeo Agricola De Desarrollo Rural Feader,0,,,,0,0
2018,,795,       Transferencias De Capital _ Del Exterior _ Del Feoga -orientacion,0,,,,0,0
2018,,796,       Transferencias De Capital _ Del Exterior _ Del Fondo Europeo De La Pesca Fep,0,,,,0,0
2018,,797,       Transferencias De Capital _ Del Exterior _ Otras Transferencias De La Union Europea,0,,,,0,0
2018,,799,       Otras Transferencias Del Exterior Excluyendo La Union Europea,0,,,,0,0
2018,,830,       Reintegros De Prestamos De Fuera Del Sector Publico A Corto Plazo,250000,,,,250000,220027.28
2018,,831,       Reintegros De Prestamos De Fuera Del Sector Publico A Largo Plazo,0,,,,0,0
2018,,840,       Economica Ingresos _ Activos Financieros _ Devolucion De Depositos Y Fianzas Constituidos _ Devolucion De Depositos,0,,,,0,0
2018,,841,       Economica Ingresos _ Activos Financieros _ Devolucion De Depositos Y Fianzas Constituidos _ Devolucion De Fianzas,0,,,,0,0
2018,,85,     Enajenacion De Acciones Y Participaciones Del Sector Publico,0,,,,0,0
2018,,86,     Enajenacion De Acciones Y Participaciones Fuera Del Sector Publico,0,,,,0,0
2018,,87000,             Para Gastos Generales,0,,,,4959121.64,0
2018,,87010,             Para Gastos Con Financiacion Afectada,0,,,,0,0
2018,,900,       Emision De Deuda Publica En Euros A Corto Plazo,0,,,,0,0
2018,,901,       Emision De Deuda Publica En Euros A Largo Plazo,0,,,,0,0
2018,,910,       Prestamos Recibidos A Corto Plazo De Entes Del Sector Publico,0,,,,0,0
2018,,911,       Prestamos Recibidos A Largo Plazo De Entes Del Sector Publico,0,,,,0,0
2018,,912,       Prestamos Recibidos A Corto Plazo De Entes De Fuera Del Sector Publico,0,,,,0,0
2018,,913,       Prestamos Recibidos A Largo Plazo De Entes De Fuera Del Sector Publico,0,,,,0,0
2018,,920,       Emision De Deuda Publica En Moneda Distinta Del Euro A Corto Plazo,0,,,,0,0
2018,,921,       Emision De Deuda Publica En Moneda Distinta Del Euro A Largo Plazo,0,,,,0,0
2018,,930,       Prestamos Recibidos En Moneda Distinta Del Euro A Corto Plazo,0,,,,0,0
2018,,931,       Prestamos Recibidos En Moneda Distinta Del Euro A Largo Plazo,0,,,,0,0
2018,,940,       Depositos Recibidos,0,,,,0,0
2018,,941,       Fianzas Recibidas,200000,,,,200000,103197.38
