#Ejercicio,Orgánica,Económica,Denominación,Previsiones Iniciales,Modificaciones de previsiones,Modificación de previsiones en aumento,Modificación de previsiones en disminución,Previsiones Definitivas,Derechos reconocidos
2014,,46204,Ajuntament d´Eivissa,,,,,,80808.05
2014,,46205,Ajuntament de Santa Eularia,,,,,,123197.06
2014,,46206,Ajuntament de Sant Josep,,,,,,36885.15
2014,,46207,Ajuntament de Sant Joan,,,,,,
2014,,46208,Ajuntament de Sant Antoni,,,,,,
2014,,48005,GRUP D'ACCIÓ LOCAL,,,,,,15704.13
2014,,52000,Interessos bancàris,15000.0,,,,15000.0,107016.06
2014,,55000,Ing. Patrim. Conces. i Aporfitaments Conc. Admves.,10860.0,,,,10860.0,18660.0
2014,,55500,Aprovechamientos Especiales Por Reciclaje,,,,,,58250.0
2014,,55900,Otras concesiones y aprovechamientos,100000.0,,,,100000.0,198049.18
2014,,59901,Beneficios por la venta de inmuebles,,,,,,221262.74
2014,,61900,Otrras inversiones reales,2971000.0,,,,2971000.0,
2014,,61902,De otras inversiones reales,,,,,,2528474.53
2014,,72001,Subvenció Estat Projecte desestacionalització,325000.0,,,,325000.0,
2014,,72002,Conveni carreteres ministeri de Foment,3185930.0,,,,3185930.0,
2014,,7506001,Conveni CAIB carreteres,2630000.0,2852162.81,2852162.81,,5482162.81,
2014,,7506002,Conv. projecte Slow Breaks,400000.0,,,,400000.0,725000.0
2014,,7506003,Convenio Infraestructuras,6425874.67,,,,6425874.67,
2014,,7508001,Disposició adicional 8èna. Transf. carreteres.,1721766.14,,,,1721766.14,
2014,,7508002,Transferències incondiconades,2690000.0,,,,2690000.0,5648260.76
2014,,79201,Transferència fons Europeus 2007-2013,706439.62,,,,706439.62,164064.62
2014,,83000,Reintegrament prèstecs al personal,400000.0,,,,400000.0,260525.42
2014,,87000,Para gastos generales,,9864141.24,9864141.24,,9864141.24,
2014,,87010,Para gastos con financiación afectada,,16911910.76,16911910.76,,16911910.76,
2014,,91001,Devolución deuda liquidación definitiva 2008. Min. Hacienda y Adm. Publicas.,,,,,,
2014,,91002,Devolución deuda liquidación definitiva 2009. Min. Hacienda y Adm. Publicas.,,,,,,
2014,,91313,Préstamo inversiones exp. modificación 9/2014,,2330000.0,2330000.0,,2330000.0,2330000.0
2014,,94100,Fiances ingressades,300000.0,,,,300000.0,111198.47
2014,12,75050,Transferencias capital en cumplimiento de convenios suscritos con la Comuniad Autónoma en materia de Empleo y Desarrollo local,,,,,,
2014,31,35100,Convenio UNESPA Bomberos,,,,,,
2014,31,75065,Conv. noves inversions carreteres,,,,,,
2014,32,45084,Subvenció taller d'ocupació Aspiocs,,,,,,
2014,41,31903,Taxes ordenació turística,,,,,,
