#Ejercicio,Orgánica,Económica,Denominación,Previsiones Iniciales,Modificaciones de previsiones,Modificación de previsiones en aumento,Modificación de previsiones en disminución,Previsiones Definitivas,Derechos reconocidos
2012,,32001,Tasas licencia pesca,,,,,,56244.6
2012,,32200,Taxes urbanisme i habitabilitat,73000.0,,,,73000.0,40005.49
2012,,32500,Expedicion de Documentos,,,,,,2368.92
2012,,34901,Preus públics diverespai.,25000.0,,,,25000.0,24112.4
2012,,35100,Convenio UNESPA Bomberos,412000.0,,,,412000.0,412000.0
2012,,36000,Ingresos por Ventas,1000.0,,,,1000.0,11723.82
2012,,38900,Reintegros de Cerrados,,,,,,71432.28
2012,,39100,Multas por infracciones urbanísticas,,,,,,15079.48
2012,,39190,Otras multas y sanciones,,,,,,44632.24
2012,,39191,Sancions Transport,41000.0,,,,41000.0,176802.05
2012,,39192,Sancions turisme.,86000.0,,,,86000.0,129922.29
2012,,39193,Sancions Pesca,2000.0,,,,2000.0,21298.41
2012,,39196,Multes Caça,,,,,,3767.06
2012,,39211,Recargo de apremio,20000.0,,,,20000.0,71862.66
2012,,39300,Interessos de demora,7000.0,,,,7000.0,150986.81
2012,,39900,Otros ingresos diversos,,,,,,498699.96
2012,,39902,Costas procedimiento exptes. ejecutiva,,,,,,1299.42
2012,,39904,Imprevistos,,,,,,1094.94
2012,,39905,Costas Judiciales,,,,,,392.06
2012,,39907,Anuncios prensa i boib exptes. contratación,,,,,,3147.01
2012,,42010,Fondo Complementario de Financiación,11290000.0,,,,11290000.0,12831919.99
2012,,42091,Conveni Autoritat Portuaria.,40000.0,,,,40000.0,43567.36
2012,,42191,Subvenció Pla Formació INAP,,,,,,20002.0
2012,,45001,Otras transferencias incondicionadas,21517000.0,,,,21517000.0,21244525.39
2012,,45002,Bestreta,3000000.0,,,,3000000.0,
2012,,4500203,Renda mínima Inserció,,,,,,235285.02
2012,,4500204,Pla Prestacions básiques,,,,,,434202.72
2012,,4500205,Conveni maltractament infantil,,,,,,101090.0
2012,,4500206,Conveni Inmigrants,,,,,,125000.0
2012,,4500212,Conveni sosteniment Can Blai,,,,,,1000000.0
2012,,4500215,Conveni discapacitats,,,,,,1514776.35
2012,,45003,Déficit Sanitari,3500000.0,,,,3500000.0,1997259.57
2012,,45005,Conveni Protecció de la Salut,20000.0,,,,20000.0,
2012,,45006,Conveni Immigrants,222427.0,,,,222427.0,
2012,,45007,Conveni Institut Balear de la Dona,323000.0,,,,323000.0,130046.29
2012,,4500803,SAIL-PD 2011-2012 PREXP-28/11,,,,,,14979.75
2012,,45009,Subvenció Renda mínima Inserció,235286.0,,,,235286.0,
2012,,45010,Plan Prestacions Básiques,435762.0,,,,435762.0,
2012,,45012,Conveni manteniment Can Blai,2100000.0,,,,2100000.0,
2012,,45015,Conveni manteniment places creades per persones amb discapacitat.,1500000.0,34633.12,34633.12,,1534633.12,
2012,,45016,ADOL acció Social,27045.0,,,,27045.0,
2012,,45018,Conveni Actuacions Maltractament i Abús Sexual Infantil,45000.0,,,,45000.0,
2012,,45020,Conveni fills dones victimes violència,25000.0,,,,25000.0,
2012,,45021,Aportació Can Raspais,1100000.0,,,,1100000.0,
2012,,45030,Transferencias corrientes en cumplimiento de convenios Escola Turisme,255000.0,,,,255000.0,223661.0
2012,,45034,Conveni funcionament Sa Coma,20000.0,,,,20000.0,3033.0
2012,,4505001,Conveni Joves en Risc,,,,,,
2012,,45061,Conveni PDSTIB,450000.0,,,,450000.0,450000.0
2012,,45067,Aportació Direcció General de Comerç,15000.0,,,,15000.0,
2012,,45069,Aportació promoció turistica,500000.0,,,,500000.0,
2012,,45080,Otras subvenciones corrientes de la Administración General de la Comunidad Autónoma,134144.0,,,,134144.0,
2012,,4508001,Subvenció colectius vulnerables,,,,,,23850.0
2012,,4508002,Subvenció accións formatives,,,,,,
2012,,45089,Conveni celebració dia de les Illes Balears.,,,,,,28500.0
2012,,45101,Aportació IBSALUT,500000.0,,,,500000.0,
2012,,46200,Aportació sosteniment Parc Bombers,210838.44,,,,210838.44,
2012,,52000,Interessos bancàris,40000.0,,,,40000.0,18944.51
2012,,55000,Ing. Patrim. Conces. i Aporfitaments Conc. Admves.,,,,,,16605.0
2012,,55900,Otras concesiones y aprovechamientos,100000.0,,,,100000.0,184826.15
2012,,72000,Transferències de l'Estat,650000.0,166776.65,166776.65,,816776.65,397949.22
2012,,72001,Subvenció Estat Projecte desestacionalització,300000.0,,,,300000.0,110000.0
2012,,72002,Conveni carreteres ministeri de Foment,7500000.0,,,,7500000.0,266360.0
2012,,75030,Transferencias capital convenio Comunidad Autónoma en materia de Educación,,,,,,236000.0
2012,,75032,Subvenció centre estudis Sa Comandancia,,1958897.1,1958897.1,,1958897.1,
2012,,75033,Inversión en infraestructuras,8651000.0,,,,8651000.0,
2012,,75061,Conveni projecte desestacionalització Slow Breaks,400000.0,110000.0,110000.0,,510000.0,
2012,,75065,Conv. noves inversions carreteres,3850000.0,,,,3850000.0,
2012,,75069,DISPOSICIÓ ADICIONAL 8ÈNA LLEY CARRETERES,,,,,,1721766.14
2012,,75080,Otras transferencias de la Administración General de la Comunidad Autónoma,2690000.0,,,,2690000.0,3182426.35
2012,,76200,Transferencias de Ayuntamientos,,28960.53,28960.53,,28960.53,
2012,,79201,Transferència fons Europeus 2007-2013,1190000.0,,,,1190000.0,
2012,,79700,Subvenció Leader,,23572.53,23572.53,,23572.53,
2012,,83000,Reintegrament prèstecs al personal,400000.0,,,,400000.0,241178.89
2012,,87000,Para gastos generales,,225379.46,225379.46,,225379.46,
2012,,87010,Para gastos con financiación afectada,,23051208.61,23051208.61,,23051208.61,
2012,,91000,Préstamos recibidos a corto plazo de entes del sector público,,,,,,
2012,,91306,ICO RDL 4/2012  (Consell Insular d'Eivissa),,,,,,6020541.44
2012,,94100,Fiances ingressades,300000.0,,,,300000.0,79029.13
2012,21,45009,Subvenció Renda mínima Inserció,,,,,,
2012,31,35100,Convenio UNESPA Bomberos,,,,,,
2012,31,75065,Conv. noves inversions carreteres,,,,,,
2012,41,31200,------------------,,,,,,
2012,41,31900,TAXES ITV,,,,,,
2012,41,31907,------------------,,,,,,
2012,41,32001,------------------,,,,,,
2012,41,39905,------------------,,,,,,
2012,41,42091,------------------,,,,,,
2012,41,4500215,------------------,,,,,,
2012,41,4508001,------------------,,,,,,
2012,41,45089,------------------,,,,,,
2012,42,72001,Subvenció Estat Projecte desestacionalització,,,,,,
2012,42,75061,Conveni projecte desestacionalització Slow Breaks,,,,,,
