#Ejercicio,Orgánica,Económica,Denominación,Previsiones Iniciales,Modificaciones de previsiones,Modificación de previsiones en aumento,Modificación de previsiones en disminución,Previsiones Definitivas,Derechos reconocidos
2016,,31300,Taxes Instal.lacions Esportives,0.0,0.0,0.0,0.0,0.0,0.0
2016,,32200,Taxes urbanisme i habitabilitat,0.0,0.0,0.0,0.0,0.0,0.0
2016,,32500,Expedicion de Documentos,0.0,0.0,0.0,0.0,0.0,0.0
2016,,3919003,Sanciones pesca,0.0,0.0,0.0,0.0,0.0,0.0
2016,,39300,Interessos de demora,0.0,0.0,0.0,0.0,0.0,0.0
2016,,4500205,Conveni Maltractament Infantil,0.0,0.0,0.0,0.0,0.0,0.0
2016,,7506002,Conv. projecte Slow Breaks,0.0,0.0,0.0,0.0,0.0,0.0
2016,,91003,Devolcuón deuda liquidacion definitiva 2013. Min. Hacienda y Adm. Publicas,0.0,0.0,0.0,0.0,0.0,0.0
2017,,31200,Taxes Escoletes,0.0,0.0,0.0,0.0,0.0,0.0
2017,,31903,Taxes ordenació turística,0.0,0.0,0.0,0.0,0.0,0.0
2017,,31904,Taxes Joventut,0.0,0.0,0.0,0.0,0.0,0.0
2017,,3919001,Sanciones transporte,0.0,0.0,0.0,0.0,0.0,0.0
2017,,3919003,Sanciones pesca,0.0,0.0,0.0,0.0,0.0,0.0
2017,,4500208,Menores,0.0,0.0,0.0,0.0,0.0,0.0
2017,,4500213,Subv. Laboral Discapacitats SAILPD,0.0,0.0,0.0,0.0,0.0,0.0
2017,,7506002,Conv. projecte Slow Breaks,0.0,0.0,0.0,0.0,0.0,0.0
2018,,10000,Impost sobre la Renta de les Persones físiques,1400000.0,0.0,0.0,0.0,1400000.0,326895.87
2018,,17100,Recargo provincial en el Impuesto sobre Actividades Económicas,550000.0,0.0,0.0,0.0,550000.0,293418.81
2018,,21000,Impost sobre IVA,2141830.0,0.0,0.0,0.0,2141830.0,498722.55
2018,,22000,Impuesto sobre el alcohol y bebidas derivadas,26520.0,0.0,0.0,0.0,26520.0,6073.11
2018,,22001,Impuesto sobre la cerveza,9270.0,0.0,0.0,0.0,9270.0,1881.57
2018,,22003,Impuesto sobre las labores del tabaco,348150.0,0.0,0.0,0.0,348150.0,78698.58
2018,,22004,Impuesto sobre hidrocarburos,239210.0,0.0,0.0,0.0,239210.0,66047.04
2018,,22006,Impuesto sobre productos intermedios,590.0,0.0,0.0,0.0,590.0,177.9
2018,,31000,Taxes Hospital Cas Serres,900000.0,0.0,0.0,0.0,900000.0,291486.12
2018,,31200,Taxes Escoletes,350000.0,0.0,0.0,0.0,350000.0,94155.95
2018,,31201,Taxes Cultura Edif. Cas Serres,8000.0,0.0,0.0,0.0,8000.0,2061.38
2018,,31300,Taxes Instal.lacions Esportives,300000.0,0.0,0.0,0.0,300000.0,106094.53
2018,,31900,Taxes ITV,1600000.0,0.0,0.0,0.0,1600000.0,288438.5
2018,,31901,Taxes Transports,70000.0,0.0,0.0,0.0,70000.0,10225.32
2018,,31902,"Taxes agricultura, ramederia i Pesca",55000.0,0.0,0.0,0.0,55000.0,10323.93
2018,,31903,Taxes ordenació turística,1200000.0,0.0,0.0,0.0,1200000.0,147979.8
2018,,31904,Taxes Joventut,100000.0,0.0,0.0,0.0,100000.0,0.0
2018,,31905,Taxes centre exàmens Conduir,20000.0,0.0,0.0,0.0,20000.0,4547.0
2018,,31907,Taxes Servei d´Extinció d´Incendis,26000.0,0.0,0.0,0.0,26000.0,464.57
2018,,31910,Tasas Ordenacio del Territori,4000.0,0.0,0.0,0.0,4000.0,0.0
2018,,31911,Tasas espectáculos y actividades recreativas,47000.0,0.0,0.0,0.0,47000.0,2033.26
2018,,31912,Tasas Artesanía,2500.0,0.0,0.0,0.0,2500.0,272.51
2018,,32000,Tasas licencia caza,30000.0,0.0,0.0,0.0,30000.0,2192.52
2018,,32001,Tasas licencia pesca,30000.0,0.0,0.0,0.0,30000.0,0.0
2018,,32200,Taxes urbanisme i habitabilitat,35000.0,0.0,0.0,0.0,35000.0,4255.67
2018,,32500,Expedicion de Documentos,12000.0,0.0,0.0,0.0,12000.0,983.77
2018,,32501,Tasas Derechos Examen Acceso Admon. Pública.,9000.0,0.0,0.0,0.0,9000.0,0.0
2018,,34901,Preus públics diverespai.,25000.0,0.0,0.0,0.0,25000.0,0.0
2018,,34902,Precios Públicos Actividades Culturales,650.0,0.0,0.0,0.0,650.0,6872.5
2018,,35100,Convenio UNESPA Bomberos,641764.07,0.0,0.0,0.0,641764.07,0.0
2018,,36000,Ingresos por Ventas,7000.0,0.0,0.0,0.0,7000.0,0.0
2018,,38900,Reintegros de Cerrados,200000.0,0.0,0.0,0.0,200000.0,50178.03
2018,,39100,Multas por infracciones urbanísticas,6000.0,0.0,0.0,0.0,6000.0,0.0
2018,,3919001,Sanciones transporte,200000.0,0.0,0.0,0.0,200000.0,34656.71
2018,,3919002,Sanciones turismo,290000.0,0.0,0.0,0.0,290000.0,13557.29
2018,,3919003,Sanciones pesca,20000.0,0.0,0.0,0.0,20000.0,100.0
2018,,3919004,Sanciones caça,1500.0,0.0,0.0,0.0,1500.0,0.0
2018,,3919005,Multas de Carreteras,0.0,0.0,0.0,0.0,0.0,0.0
2018,,3919007,Multas de Sanitat Vegetal,1000.0,0.0,0.0,0.0,1000.0,0.0
2018,,3919008,Multas de Sanitat Animal,1000.0,0.0,0.0,0.0,1000.0,0.0
2018,,3919010,Multas de Medi Ambient,1000.0,0.0,0.0,0.0,1000.0,0.0
2018,,3919012,Multas Contractació,0.0,0.0,0.0,0.0,0.0,742.5
2018,,3919099,Multas. Otras Multas Diversas,5000.0,0.0,0.0,0.0,5000.0,0.0
2018,,39211,Recargo de apremio,20000.0,0.0,0.0,0.0,20000.0,3587.91
2018,,39300,Interessos de demora,30000.0,0.0,0.0,0.0,30000.0,13090.19
2018,,39900,Otros ingresos diversos,5000.0,0.0,0.0,0.0,5000.0,2500.0
2018,,39902,Costas procedimiento exptes. ejecutiva,2000.0,0.0,0.0,0.0,2000.0,26.61
2018,,39904,Imprevistos,1000.0,0.0,0.0,0.0,1000.0,0.0
2018,,39905,Costas Judiciales,20000.0,0.0,0.0,0.0,20000.0,250.0
2018,,39907,Anuncios prensa i boib exptes. contratación,750.0,0.0,0.0,0.0,750.0,0.0
2018,,42010,Fondo Complementario de Financiac,13543390.0,0.0,0.0,0.0,13543390.0,3391144.89
2018,,42190,De otros Organismos Autónomos y Agencias,50000.0,0.0,0.0,0.0,50000.0,0.0
2018,,4230000,De Loterías y Apuestas del Estado. Transferencias,60000.0,0.0,0.0,0.0,60000.0,10455.76
2018,,4500101,Transferències corrents incondicionades,48826766.53,0.0,0.0,0.0,48826766.53,7906735.4
2018,,4500104,Finançament Promoció Turistica,0.0,0.0,0.0,0.0,0.0,547047.0
2018,,4500203,Renda Minima d´Inserció,120672.24,0.0,0.0,0.0,120672.24,140251.83
2018,,4500204,Pla Prestacions Básiques,627510.36,0.0,0.0,0.0,627510.36,778485.75
2018,,4500205,Conveni Maltractament Infantil,45000.0,0.0,0.0,0.0,45000.0,1407.23
2018,,4500206,Persones en Situació de Dependència,400472.87,0.0,0.0,0.0,400472.87,0.0
2018,,4500210,Conveni Institud Balear de la Dona,328000.0,0.0,0.0,0.0,328000.0,300000.0
2018,,4500212,Conveni Drogodependències,127488.0,0.0,0.0,0.0,127488.0,127488.0
2018,,4500215,Familia i Infancia,117175.34,0.0,0.0,0.0,117175.34,28090.0
2018,,4500216,Inserció Persones Inmigrants,255241.2,0.0,0.0,0.0,255241.2,0.0
2018,,4503000,Conveni CC.AA. Escola de Turisme,150000.0,0.0,0.0,0.0,150000.0,0.0
2018,,4503001,Conveni CC.AA. Can Nebot,80000.0,0.0,0.0,0.0,80000.0,0.0
2018,,4506001,Diada de les llles Balears,25000.0,0.0,0.0,0.0,25000.0,0.0
2018,,4506004,Conveni CAIB manteniment edificis a Sa Coma,3033.0,0.0,0.0,0.0,3033.0,0.0
2018,,4506009,Conveni en matèria de foment de l´Esport a Eivissa,29500.0,0.0,0.0,0.0,29500.0,0.0
2018,,4506010,Conveni en matèria de Promoció Turística,2215646.64,0.0,0.0,0.0,2215646.64,0.0
2018,,4508001,Otras Subvenciones,0.0,0.0,0.0,0.0,0.0,500.0
2018,,4508004,Soib Accions Formatives,14400.0,0.0,0.0,0.0,14400.0,0.0
2018,,45100,Transferencias CCAA de Organismos,50500.0,0.0,0.0,0.0,50500.0,0.0
2018,,45300,Conveni Institut Balear de la Natura (IBANAT),30888.38,0.0,0.0,0.0,30888.38,0.0
2018,,45302,Conveni GEIBSAU cessió edifici 103 de Sa Coma emergències,8270.56,0.0,0.0,0.0,8270.56,0.0
2018,,46204,Ajuntament d´Eivissa,160808.05,0.0,0.0,0.0,160808.05,0.0
2018,,46205,Ajuntament de Santa Eularia,51951.7,0.0,0.0,0.0,51951.7,0.0
2018,,46206,Ajuntament de Sant Josep,36885.15,0.0,0.0,0.0,36885.15,0.0
2018,,46207,Ajuntament de Sant Joan,4760.85,0.0,0.0,0.0,4760.85,0.0
2018,,46208,Ajuntament de Sant Antoni,36432.69,0.0,0.0,0.0,36432.69,0.0
2018,,46210,De Ayuntamientos. Subvenciones para gastos no financieros del ejercicio,40000.0,0.0,0.0,0.0,40000.0,0.0
2018,,52000,Interessos bancàris,18000.0,0.0,0.0,0.0,18000.0,2419.37
2018,,55000,Ing. Patrim. Conces. i Aporfitaments Conc. Admves.,174750.0,0.0,0.0,0.0,174750.0,61375.0
2018,,55500,Aprovechamientos Especiales Por Reciclaje,0.0,0.0,0.0,0.0,0.0,259061.26
2018,,72002,Conveni carreteres ministeri de Foment,7621170.0,16654810.0,16654810.0,0.0,24275980.0,0.0
2018,,7506000,Otras transferencias convenios suscritos con la Comunidad Autónoma. Transferencias,0.0,4346365.3,4346365.3,0.0,4346365.3,1011789.52
2018,,7506003,Convenio Infraestructuras,5569145.99,0.0,0.0,0.0,5569145.99,0.0
2018,,7508000,Otras transferencias de la Administración General de la Comunidad Autónoma. Transferencias,8228911.09,794299.69,794299.69,0.0,9023210.78,1073772.76
2018,,83040,Reintegros de préstamos de fuera del sector público a corto plazo. Créditos a corto plazo al personal.,250000.0,0.0,0.0,0.0,250000.0,33642.63
2018,,87000,Para gastos generales,0.0,4959121.64,4959121.64,0.0,4959121.64,0.0
2018,,94100,Fiances ingressades,200000.0,0.0,0.0,0.0,200000.0,2176.84
